id,nombres,apellidos,sentencia_id
535,Bello Rincón,Jorge Arturo,5655
536,Pinto Perilla,Luz Adriana,5655
537,Buitrago Galindo,Juan Diego,5666
538,Pinzón Londoño,William,5666
539,Aponte Cardona,Alejandro,5669
540,Restrepo Jaramillo,Ricardo,5673
541,Guerra Castillo,Andrés Felipe,5674
542,Esteban Carvajal,Ángela Viviana,5674
543,López,Alfonso,5674
544,Silva Puerto,Libia Sonia,5674
545,Rojas Topaga,Stefany,5674
546,Ospina,Camilo,5678
547,Franco Onofre,Mónica,5684
548,Stepanian Santoyo,Antoine Joseph,5686
549,Stepanian Rozo,Jennifer,5686
550,Rodríguez Olmos,Javier Mauricio,5687
551,Osorio Trigueros,Yulissa Andrea,5691
552,Padilla Correa,Lina María,5691
553,Bernal Forigua,Mónica Alejandra,5691
554,Garnica Roa,Natalia,5691
555,Galvis Castañeda,Ingrid Carolina ,5691
556,Prieto García,Víctor Manuel,5696
557,Núñez Cadena,Fabio Enrique,5699
558,Escobar Cortés,Edilberto,5700
559,Esteban Carvajal,Angela Viviana,5706
560,Rojas Topaga,Stefany,5706
561,Silva,Libia Sonia,5706
562, guerra Castillo,Andres Felipe,5706
563,Lopez,Héctor Alfonso,5706
564,Garzón Garzón,Dario,5708
565,Gómez Pérez,Juan David,5711
566,De La Rosa Torralvo,Karina Margarita,5713
567,Zuluaga,José Octavio,5716
568,Gómez Pineda,Oscar David ,5719
569,Rodríguez Sarmiento,Hector Enrique,5720
570,Cruz Serrano,Karen Lorena,5720
571, donado Restrepo,Javiel Alonso,5721
572,Navas Talero,German,5729
573,Lozano,Angelica,5729
574,Cabrera Saavedra,Carlos Augusto,5733
575,Medina Romero,Luis Eduardo,5733
576,Lermen,Dean,5736
577,Beltrán Herrera,Diana Carolina,5737
578,Canosa Cantor,Jannluck,5737
579,Hernández Rivera,Diego Alejandro,5737
580,Osorio Reyes,Jorge Enrique,5737
581, páez Páez,Andrés,5738
582,Zárate Castañeda,Jeyson Andrés,5740
583,Alfonso Granados,Fabián Andrés,5740
584,Pérez Correa,Susana Carolina,5740
585,Romero Bello,María Fernanda,5740
586,Loaiza Nieto,Jose Arbey,5743
587,Caicedo Cordoba,Saturnino,5743
588,Peña Ospitia,Hiparco,5743
589,Espinosa Fenwarth,Andres,5749
590,Hurtado Montilla ,Ernesto,5751
591,Peña Bermúdez,Héctor,5752
592,Rivera Vega,Edwin,5752
593,Pérez Pablos,Marco Leonardo,5754
594,Casas Naranjo,Deisy Aleida,5754
595,Villamil Ávila,Ibeth ,5754
596,Márquez Ávila,Ana Virginia ,5754
597,Cubillos Velandia,Ramiro,5755
598,Perez Garzon,Carlos Andrés,5756
599,Ospina Gil,Luisa Fernanda,5757
600,Martínez Londoño,Viviana Paola,5757
601,Dean,Lermen González,5758
602,Perez,Carlos Andrés,5760
603,Cubillos Velandia,Ramiro,5761
604,Pulido Ortiz,Enrique,5764
605,Rojas Pinzón,Julieth Tatiana,5764
606,Mercado Donato,María Alejandra,5764
607,Morales Barreto,Sergio Andrés,5764
608,Pérez Zúñiga,Carlos Efrén,5766
609,Garzón Zemanate,Fabiola,5766
610,Pérez Arango,Ricardo,5769
611,Mendoza Velilla,Pablo Emilio,5769
612, amarís Fernández,Catalina,5769
613,Higuera Rodríguez,Nathaly Alejandra,5769
614,Medina Murillo,Nathalie,5769
615,Quintero Sepúlveda,Alvaro,5776
616,Cendales Cendales, juan José,5777
617,Sánchez,Luis Felipe,5777
618,Ferreira Duarte,Andrés Felipe,5777
619,Plazas Endez,Angélica,5777
620,Pachón Fúmeque,Andrea Carolina,5777
621,Rueda Donado,María Victoria,5779
622,Sanabria Santos,Henry,5784
623,Gil Echeverry,Jorge Hernán,5790
624,Torres Lozano,Geomacle,5795
625,Rodríguez Montero,Edwin Orlando,5795
626,Rojas Salazar,Albeiro,5796
627,Ayala Páez,Julieth Paola,5796
628,Lamouroux Montoya,Vanessa Cecilia,5796
629,García Medrano,Andrei Steven ,5798
630,Gordillo Camacho,Jhonn Figherald ,5798
631,Méndez Arango,Rafael,5799
632,Orduz,Daniel,5800
633,Neira,Natalia,5800
634,Nova,Felipe,5800
635,Velasco,Juan,5800
636,Celeita Díaz,Diana Marcela,5802
637,Osorio Urriago,Paula Andrea,5802
638,Villamizar Castrillón,Pedro Javier,5802
639,Ramírez Lesmes,María Mercedes,5803
640,Moreno García,Jessica,5803
641,Pérez Garzón,Carlos Andrés,5804
642,Rodríguez Barbosa,Gynna Vanessa,5806
643,Perna Reyes,Marcela,5807
644,Rey Alba,Laura,5807
645,González Mogollón ,Juan Nicolás,5807
646,Díaz Granados,Gabriel Francisco,5807
647,Pérez Garzón,Carlos Andrés,5807
648,González Buitrago,José Ignacio,5809
649,Rangel Cubides,Mónica,5809
650,Pérez Garzón,Carlos Andrés,5810
651,Saldarriaga Molina,Jaime,5811
652,Ramírez,Juan Fernando,5811
653,Barbosa,Julián Andrés,5811
654,Pérez Garzón,Carlos Andrés,5812
655,Lombana Salazar,Boris Andrés,5813
656,Munevar,María Luz,5814
657,Yarzgaray Sarmiento,Antonio Luis,5815
658,Silva Martínez,Luz Marta Ruth,5815
659,Larrotta Díaz,Juan Sebastián,5815
660,Martínez Mejía,Jhonatan Andrés,5815
661,Páez Soto,Laura Esther,5815
662,Pérez Casas,Luis Guillermo,5816
663,Hoyos Lemus,Félix Francisco,5821
664,Castilla Salazar,Jesús Alberto,5822
665,López,Claudia,5822
666,Navarro Wolff,Antonio,5822
667,Ospina,Jorge Iván,5822
668,Lozano,Angélica ,5822
669,Espinosa Fenwarth,Andrés,5823
670,Orduz,Daniel,5824
671,Neira,Natalia,5824
672,Novoa,Felipe,5824
673,Pérez-Garzón,Carlos Andrés,5824
